"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2016-08-15 19:36:00.286704,FALSE,FALSE,0,FALSE,2016-08-15 19:36:00.286704,0
2016-08-16 04:50:23.236188,TRUE,FALSE,0,FALSE,2016-08-16 04:50:23.236188,0
2016-08-16 19:26:26.103145,FALSE,FALSE,0,FALSE,2016-08-16 19:26:26.103145,0
2016-08-17 05:03:49.108578,TRUE,FALSE,0,FALSE,2016-08-17 05:53:04.564911,0
2016-08-17 18:52:19.435089,FALSE,FALSE,0,FALSE,2016-08-17 18:52:19.435089,0
2016-08-18 05:04:09.129081,TRUE,FALSE,0,FALSE,2016-08-18 05:04:09.129081,0
2016-08-18 19:09:18.551669,FALSE,FALSE,0,FALSE,2016-08-18 19:09:18.551669,0
2016-08-19 04:59:11.934744,TRUE,FALSE,0,FALSE,2016-08-19 04:59:11.934744,0
2016-08-19 18:44:18.551669,FALSE,FALSE,0,FALSE,2016-08-19 18:44:18.551669,0
2016-08-20 05:03:07.979252,TRUE,FALSE,0,FALSE,2016-08-20 05:41:05.448331,0
2016-08-20 18:44:38.386692,FALSE,FALSE,0,FALSE,2016-08-20 19:19:18.551669,0
2016-08-21 05:01:05.448331,TRUE,FALSE,0,FALSE,2016-08-21 05:01:05.448331,0
2016-08-21 18:39:09.480546,FALSE,FALSE,0,FALSE,2016-08-21 18:15:00.763812,0
2016-08-22 05:10:00.867038,TRUE,FALSE,0,FALSE,2016-08-22 05:10:00.867038,0
2016-08-22 18:50:37.260457,FALSE,FALSE,0,FALSE,2016-08-22 18:50:37.260457,0
2016-08-23 05:25:23.236188,TRUE,FALSE,0,FALSE,2016-08-23 05:25:23.236188,0
2016-08-23 18:40:47.148245,FALSE,FALSE,0,FALSE,2016-08-23 18:40:47.148245,0
2016-08-24 05:29:05.66308,TRUE,FALSE,0,FALSE,2016-08-24 07:08:47.076134,0
2016-08-24 18:47:36.073574,FALSE,FALSE,0,FALSE,2016-08-24 18:47:36.073574,0
2016-08-25 05:28:42.997427,TRUE,FALSE,0,FALSE,2016-08-25 05:28:42.997427,0
2016-08-25 19:01:27.402217,FALSE,FALSE,0,FALSE,2016-08-25 19:01:27.402217,0
2016-08-26 05:15:00.867038,TRUE,FALSE,0,FALSE,2016-08-26 05:15:00.867038,0
2016-08-26 18:45:37.260457,FALSE,FALSE,0,FALSE,2016-08-26 18:45:37.260457,0
2016-08-27 05:18:20.561184,TRUE,FALSE,0,FALSE,2016-08-27 05:18:20.561184,0
2016-08-27 19:14:18.551669,FALSE,FALSE,0,FALSE,2016-08-27 19:14:18.551669,0
2016-08-28 05:26:05.448331,TRUE,FALSE,0,FALSE,2016-08-28 05:26:05.448331,0
2016-08-28 19:01:24.682653,FALSE,FALSE,0,FALSE,2016-08-28 19:01:24.682653,0
2016-08-29 05:15:23.236188,TRUE,FALSE,0,FALSE,2016-08-29 05:15:23.236188,0
2016-08-29 18:51:46.235873,FALSE,FALSE,0,FALSE,2016-08-29 18:51:46.235873,0
