"series","timestamp","value","label"
"Set","2024-09-01T19:00:46Z",1120,"3"
"Rise","2024-09-02T05:25:46Z",305,"4"
"Set","2024-09-02T18:45:46Z",1105,"4"
"Rise","2024-09-03T05:40:46Z",320,"5"
"Set","2024-09-03T19:05:46Z",1125,"5"
"Rise","2024-09-04T05:20:46Z",300,"5"
"Set","2024-09-04T19:05:46Z",1125,"5"
"Rise","2024-09-05T05:40:46Z",320,"5"
"Set","2024-09-05T18:50:46Z",1110,"5"
"Rise","2024-09-06T05:35:46Z",315,"5"
"Set","2024-09-06T19:00:46Z",1120,"5"
"Rise","2024-09-07T05:30:46Z",310,"5"
"Set","2024-09-07T18:55:46Z",1115,"5"
"Rise","2024-09-08T05:30:46Z",310,"5"
"Set","2024-09-08T18:40:46Z",1100,"5"
"Rise","2024-09-09T05:35:46Z",315,"5"
"Set","2024-09-09T18:50:46Z",1110,"5"
"Rise","2024-09-10T05:35:46Z",315,"5"
"Set","2024-09-10T18:40:46Z",1100,"5"
"Rise","2024-09-11T05:35:46Z",315,"5"
"Set","2024-09-11T18:45:46Z",1105,"5"
"Rise","2024-09-12T05:45:46Z",325,"5"
"Set","2024-09-12T18:50:46Z",1110,"5"
"Rise","2024-09-13T05:40:46Z",320,"5"
"Set","2024-09-13T18:50:46Z",1110,"5"
"Rise","2024-09-14T05:40:46Z",320,"5"
"Set","2024-09-14T18:50:46Z",1110,"5"
"Rise","2024-09-15T05:40:46Z",320,"5"
"Set","2024-09-15T18:40:46Z",1100,"5"
"Rise","2024-09-16T05:40:46Z",320,"5"
"Set","2024-09-16T18:50:46Z",1110,"5"
"Rise","2024-09-17T05:45:46Z",325,"5"
"Set","2024-09-17T18:45:46Z",1105,"5"
"Rise","2024-09-18T05:50:46Z",330,"5"
"Set","2024-09-18T18:45:46Z",1105,"5"
"Rise","2024-09-19T05:50:46Z",330,"5"
"Set","2024-09-19T18:40:46Z",1100,"5"
"Rise","2024-09-20T05:55:46Z",335,"5"
"Set","2024-09-20T18:15:46Z",1075,"5"
"Rise","2024-09-21T06:00:46Z",340,"5"
"Set","2024-09-21T18:25:46Z",1085,"5"
"Rise","2024-09-22T06:00:46Z",340,"5"
"Set","2024-09-22T18:30:46Z",1090,"5"
"Rise","2024-09-23T05:50:46Z",330,"5"
"Set","2024-09-23T18:30:46Z",1090,"5"
"Rise","2024-09-24T05:55:46Z",335,"5"
"Set","2024-09-24T18:20:46Z",1080,"5"
"Rise","2024-09-25T05:55:46Z",335,"5"
"Set","2024-09-25T18:25:46Z",1085,"5"
"Rise","2024-09-26T05:45:46Z",325,"5"
"Set","2024-09-26T18:25:46Z",1085,"5"
"Rise","2024-09-27T05:50:46Z",330,"5"
"Set","2024-09-27T18:20:46Z",1080,"5"
"Rise","2024-09-28T06:05:46Z",345,"5"
"Set","2024-09-28T18:15:46Z",1075,"5"
"Rise","2024-09-29T05:45:46Z",325,"5"
"Set","2024-09-29T18:25:46Z",1085,"5"
"Rise","2024-09-30T06:05:46Z",345,"5"
"Set","2024-09-30T18:25:46Z",1085,"5"
"Rise","2024-10-01T06:00:46Z",340,"5"
"Set","2024-10-01T18:20:46Z",1080,"5"
"Rise","2024-10-02T06:05:46Z",345,"5"
"Set","2024-10-02T18:15:46Z",1075,"5"
"Rise","2024-10-03T06:10:46Z",350,"5"
"Set","2024-10-03T18:15:46Z",1075,"5"
"Rise","2024-10-04T06:10:46Z",350,"5"
"Set","2024-10-04T18:15:46Z",1075,"5"
"Rise","2024-10-05T06:10:46Z",350,"6"
"Set","2024-10-05T18:20:46Z",1080,"6"
"Rise","2024-10-06T06:15:46Z",355,"6-5"
"Set","2024-10-06T18:15:46Z",1075,"7"
"Rise","2024-10-07T06:10:46Z",350,"8"
"Set","2024-10-07T18:20:46Z",1080,"8"
"Rise","2024-10-08T06:20:46Z",360,"8"
"Set","2024-10-08T18:15:46Z",1075,"8"
"Rise","2024-10-09T06:05:46Z",345,"8"
"Set","2024-10-09T18:10:46Z",1070,"8"
"Rise","2024-10-10T06:15:46Z",355,"8"
"Set","2024-10-10T18:10:46Z",1070,"8"
"Rise","2024-10-11T06:15:46Z",355,"8"
"Set","2024-10-11T18:00:46Z",1060,"8"
